总数,直播间url,直播间ID,标题,状态,是否上架,添加时间,开始时间,zbID,直播类型,enc_tpid,播放url
5806,https://inter.dayilive.com/live/page/2143030848,2143030848,0522 胸有甲兵 术立巅峰｜南方医科大学南方医院胸外科手术直播,0,是,2025-05-21 16:36:04,2025-05-22 09:00:00,11749549,0,5D2F09977CE20324AD85D6D39F43566E,https://qvod2.vzan.com/clip/11749549/2143030848/6af9156ad947459b86e7b82d3deb6412.m3u8?zbid=11749549&tpid=2143030848&type=0
5806,https://inter.dayilive.com/live/page/1760180735,1760180735,峰云镜会｜3D腹腔镜IIIb型肝门胆管癌根治术,0,是,2025-05-21 10:19:59,2025-05-22 09:00:00,11749549,0,ADA8D497EA100B19EA5E7D77A1BE3F72,https://qvod2.vzan.com/clip/11749549/1760180735/f0b849f9199a444ab5f031d9e6d3e117.m3u8?zbid=11749549&tpid=1760180735&type=0
5806,https://inter.dayilive.com/live/page/1565044439,1565044439,5月22日  “独‘补’天下－中国行”南昌站,0,是,2025-05-19 18:49:10,2025-05-22 09:00:00,11749549,0,EC0461AEFE4BF725F2E40D76F99D9287,https://qvod2.vzan.com/clip/11749549/1565044439/4be9a6bc297649daa513c95f966b99cf.m3u8?zbid=11749549&tpid=1565044439&type=0
5806,https://inter.dayilive.com/live/page/1133905872,1133905872,0522 结直肠癌日间诊疗学习班（第5期）暨国家癌症中心结直肠NOSES学习班沈阳站（第60期）,0,是,2025-05-19 13:04:25,2025-05-22 08:00:00,11749549,0,70F8D50872B497A2D019259D516F35FE,https://qvod2.vzan.com/clip/11749549/1133905872/7440fbbe898a44dbb43e2987d474cf43.m3u8?zbid=11749549&tpid=1133905872&type=0
5806,https://inter.dayilive.com/live/page/1751281584,1751281584,0521 显微外科病例研讨+技术推广普及·第七十一期：拇手指全形再造｜国家临床中心多中心病例研讨会,0,是,2025-05-19 11:27:40,2025-05-21 19:00:00,11749549,0,3E36523786F04B9522A128AD6C357F62,http://v3bj.vzan.com/11749549/910100064008680941/replay.1747837623.10606470.m3u8?zbid=11749549&tpid=1751281584&type=0
5806,https://inter.dayilive.com/live/page/350755273,350755273,0522 骨科与运动康复联合文献分享会（第17期）－半月板撕裂合并膝骨关节炎患者中物理治疗与糖皮质激素注射的疗效对比:一项多中心随机对照试验,0,是,2025-05-19 09:16:15,2025-05-22 16:30:00,11749549,0,B752A4BF0FC6F50F5B294E528D9FE17D,https://qvod2.vzan.com/clip/11749549/350755273/d96879323ab349d4b71c44587b46cecc.m3u8?zbid=11749549&tpid=350755273&type=0
5806,https://inter.dayilive.com/live/page/153073951,153073951,0520 保髋专家论坛｜儿童及青少年保髋专题第十季第89期：青少年单侧脱位解决方案之Colonna手术,0,是,2025-05-17 21:04:08,2025-05-20 19:00:00,11749549,0,82667EBAA1502CAE445C6BB50F43AC16,https://qvod2.vzan.com/clip/11749549/153073951/d8394aedb0304e95a51c20f4ebe2d446.m3u8?zbid=11749549&tpid=153073951&type=0
5806,https://inter.dayilive.com/live/page/1873701335,1873701335,264 赵国栋教授｜机器人扩大左半肝切除术（左肝ICC，左肝联合尾叶切除）,0,是,2025-05-17 14:56:00,2025-05-17 14:55:55,11749549,0,4F29738AE340A6597586D7F96D73D85A,http://v3bj.vzan.com/11749549/491609656675697614/replay.1747723059.04147143.m3u8?zbid=11749549&tpid=1873701335&type=0
5806,https://inter.dayilive.com/live/page/1745885134,1745885134,263 赵国栋教授｜机器人胰十二指肠切除术 （胰头癌/中间入路/平行式胰肠吻合）,0,是,2025-05-17 14:55:20,2025-05-17 14:55:13,11749549,0,47455BB952043D8E24ED56B9DFD103B6,http://v3bj.vzan.com/11749549/548450985994695121/replay.1747679565.13831761.m3u8?zbid=11749549&tpid=1745885134&type=0
5806,https://inter.dayilive.com/live/page/57964995,57964995,0519 午间一点半点·康复分享会·第144期：髋关节撞击综合征,0,是,2025-05-16 16:12:42,2025-05-19 13:00:00,11749549,0,6B075AA25A9ABEDDC5BE0CF9A08FFE74,https://qvod2.vzan.com/clip/11749549/57964995/568111f6d88c49839f80fcadbcd89e49.m3u8?zbid=11749549&tpid=57964995&type=0
5806,https://inter.dayilive.com/live/page/1203834329,1203834329,钱国武教授 南阳市中心医院,0,是,2025-05-16 10:35:52,2025-05-20 09:00:00,11749549,0,577E0CD0B1A29854FA4E9E2A2B658E23,https://qvod2.vzan.com/clip/11749549/1203834329/e30c820ffbac425abbec154c25e1fa5e.m3u8?zbid=11749549&tpid=1203834329&type=0
5806,https://inter.dayilive.com/live/page/222512021,222512021,周进学教授 河南省肿瘤医院,0,是,2025-05-16 10:33:34,2025-05-19 08:50:00,11749549,0,AD29A9CD5635B8DFC1FC31A6A55F0B2F,https://qvod2.vzan.com/clip/11749549/222512021/29b3ded7bd2544098a1ec07093054988.m3u8?zbid=11749549&tpid=222512021&type=0
5806,https://inter.dayilive.com/live/page/1621760070,1621760070,2025风和术鉴｜Fulbright Series 腹腔镜下肝包虫外囊切除术,0,是,2025-05-16 10:05:38,2025-05-20 08:30:00,11749549,0,3BCBDED923C98345647614F987D09A7B,https://qvod2.vzan.com/clip/11749549/1621760070/946812dcec39423d84e571e078c09680.m3u8?zbid=11749549&tpid=1621760070&type=0
5806,https://inter.dayilive.com/live/page/1953192530,1953192530,0522 镜影非凡｜微创外科手术直播,0,是,2025-05-16 07:20:45,2025-05-22 09:00:00,11749549,0,2E23CCE82429A7860AAFB21AB22DE097,http://v3bj.vzan.com/11749549/297139420046586397/replay.1747877795.48457892.m3u8?zbid=11749549&tpid=1953192530&type=0
5806,https://inter.dayilive.com/live/page/1844527313,1844527313,0521 下颌下三角区的临床解剖｜唐山二院解剖课堂,0,是,2025-05-15 15:53:55,2025-05-21 15:00:00,11749549,0,2CDCD5A8BD0F2C004F2A63C60B7AF80E,https://qvod2.vzan.com/clip/11749549/1844527313/748f8c725cf7437091ebfd43822d7a86.m3u8?zbid=11749549&tpid=1844527313&type=0
5806,https://inter.dayilive.com/live/page/1373430153,1373430153,【普外科】张宇飞 腹腔镜胆囊切除术,0,是,2025-05-15 12:18:39,2025-05-16 14:00:00,11749549,0,B2AEB7A7842F59BEB26359DC60E78D84,http://v3bj.vzan.com/11749549/155867468611946816/replay.1747374263.23392568.m3u8?zbid=11749549&tpid=1373430153&type=0
5806,https://inter.dayilive.com/live/page/854800184,854800184,【普外科】张宇飞 腹腔镜胆囊切除术,0,是,2025-05-15 12:18:16,2025-05-16 12:30:00,11749549,0,CF3BF93B94A9582D0E1AEC17F61F5B61,http://v3bj.vzan.com/11749549/728420507610174174/replay.1747362242.55917331.m3u8?zbid=11749549&tpid=854800184&type=0
5806,https://inter.dayilive.com/live/page/719369271,719369271,0518 第234期精讲会【跟腱篇】｜陈华,0,是,2025-05-15 10:27:31,2025-05-18 19:00:00,11749549,0,098792826B6F8EA4C3B35966135A4816,https://qvod2.vzan.com/clip/11749549/719369271/21203ec1ac724f77a6fd43a78d6266ec.m3u8?zbid=11749549&tpid=719369271&type=0
5806,https://inter.dayilive.com/live/page/1772215758,1772215758,王廷教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,0,是,2025-05-14 21:00:17,2025-05-15 10:00:00,11749549,0,5F3A086755E8BACC6CE5DC700FF65133,https://qvod2.vzan.com/clip/11749549/1772215758/c65d256c53ed4d0db8b5806da82875ad.m3u8?zbid=11749549&tpid=1772215758&type=0
5806,https://inter.dayilive.com/live/page/200967957,200967957,张聚良教授 乳腺癌根治术+乳房胸肌前假体重建,0,是,2025-05-14 18:25:15,2025-05-15 10:00:00,11749549,0,2FF65BCB4F391ECAA32E835A85E37843,https://qvod2.vzan.com/clip/11749549/200967957/ce9e44f4533a46fa945406d44e5b0200.m3u8?zbid=11749549&tpid=200967957&type=0
5806,https://inter.dayilive.com/live/page/1227105833,1227105833,樊菁教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,0,是,2025-05-14 17:02:42,2025-05-15 08:00:00,11749549,0,5AE9C18009F10B5C9399868A8A66A284,https://qvod2.vzan.com/clip/11749549/1227105833/f4e0092448fe4f3ba02c5d4673bbe679.m3u8?zbid=11749549&tpid=1227105833&type=0
5806,https://inter.dayilive.com/live/page/23264205,23264205,5月16日 中国医学科学院肿瘤医院山西医院手术直播间 精彩冀晋 名院对话｜微创外科手术联播,0,是,2025-05-14 13:07:35,2025-05-16 08:30:00,11749549,0,B520C83A64FAE2A3E15A171D100657B4,https://qvod2.vzan.com/clip/11749549/23264205/8764975d56ea452595813a07fdc3e313.m3u8?zbid=11749549&tpid=23264205&type=0
5806,https://inter.dayilive.com/live/page/193942404,193942404,5月15日 河北医科大学第四医院手术直播间 精彩冀晋 名院对话｜微创外科手术联播,0,是,2025-05-14 13:06:27,2025-05-15 08:40:00,11749549,0,E33497F38E1D30BD814E72FB0BBCDDA5,https://qvod2.vzan.com/clip/11749549/193942404/4be3c434f0cd457d9cc60b475a2e84df.m3u8?zbid=11749549&tpid=193942404&type=0
5806,https://inter.dayilive.com/live/page/1600682177,1600682177,王廷教授 达芬奇机器人辅助下甲状腺癌根治术,0,是,2025-05-13 15:37:47,2025-05-15 08:00:00,11749549,0,93813E10B005C70239A96F9A6E188068,https://qvod2.vzan.com/clip/11749549/1600682177/0699f57cabac4d318a7e574dc419327b.m3u8?zbid=11749549&tpid=1600682177&type=0
5806,https://inter.dayilive.com/live/page/2055053893,2055053893,0514 减重思变 捷然不同｜西安医学院附属宝鸡医院减重代谢外科学术沙龙（第十九期）,0,是,2025-05-13 13:29:43,2025-05-14 08:30:00,11749549,0,F86200344E19FE193896734A418567F3,https://qvod2.vzan.com/clip/11749549/2055053893/8aa5e0aec2e24a47a4907200ced02fb2.m3u8?zbid=11749549&tpid=2055053893&type=0
5806,https://inter.dayilive.com/live/page/117528449,117528449,【录播】5月12日直播间 丹旦肝胆手术周记｜肝脏外科·手术直播－中山大学肿瘤防治中心,0,是,2025-05-12 23:20:35,2025-05-12 23:20:29,11749549,2,4619777724A1B73A8FCF6B7871B962F9,https://material-hsbj.vzan.com/live/11749549/mps/20250512/96566d76198749f5b2121708f35ade6a/4d21abfef2264befabdca4658b144ece.m3u8?zbid=11749549&tpid=117528449&type=0
5806,https://inter.dayilive.com/live/page/465679718,465679718,0515 骨科与运动康复联合文献分享会（第16期）－关节镜下部分半月板切除术(APM)与运动疗法治疗退行性半月板撕裂：OMEX随机对照试验的10年随访,0,是,2025-05-12 15:55:35,2025-05-15 16:30:00,11749549,0,C51063432B82757FB12DBC16FEC38320,https://qvod2.vzan.com/clip/11749549/465679718/b25ccc1edbdf4e1d94d4f2667f898bfb.m3u8?zbid=11749549&tpid=465679718&type=0
5806,https://inter.dayilive.com/live/page/620278368,620278368,【普外科】张卫国 腹腔镜直肠癌根治术（Miles）,0,是,2025-05-12 13:14:59,2025-05-16 10:30:00,11749549,0,570C6C27064D0DA66AF26DC39B88B416,https://pull-hs1.vzan.com/11749549/477566645474053315/replay.1747365394.34938142.m3u8?zbid=11749549&tpid=620278368&type=0
5806,https://inter.dayilive.com/live/page/1942375224,1942375224,【泌尿外科】王超 陈美元 输尿管软镜钬激光碎石术,0,是,2025-05-12 13:12:46,2025-05-15 16:00:00,11749549,0,B8B402DABEC3FFD54BF9032699840EC3,https://qvod2.vzan.com/clip/11749549/1942375224/1ddd4ba173184b8ca1ab4dabf66a5639.m3u8?zbid=11749549&tpid=1942375224&type=0
5806,https://inter.dayilive.com/live/page/373666521,373666521,【泌尿外科】杨立军 沈洪亮 钬激光前列腺剜除术,0,是,2025-05-12 13:12:00,2025-05-15 13:00:00,11749549,0,21328F21BF50B0078FC7EA7020C8C719,https://qvod2.vzan.com/clip/11749549/373666521/b44e87d4e5ef42c5acfdfb8d2afc83dc.m3u8?zbid=11749549&tpid=373666521&type=0
5806,https://inter.dayilive.com/live/page/2130128590,2130128590,【泌尿外科】肖荆 李海立 经皮肾镜碎石取石术,0,是,2025-05-12 13:07:39,2025-05-15 11:00:00,11749549,0,88987CC8FB970BC99BF80DF6E7C58497,https://pull-hs1.vzan.com/11749549/031515371177610149/replay.1747285141.53006893.m3u8?zbid=11749549&tpid=2130128590&type=0
5806,https://inter.dayilive.com/live/page/1618242140,1618242140,【泌尿外科】王超 张东兴 输尿管软镜钬激光碎石术,0,是,2025-05-12 13:06:39,2025-05-15 16:15:00,11749549,0,AA37D9EAC32384D3A843D67696CF13F0,https://qvod2.vzan.com/clip/11749549/1618242140/fe05baffaa2f45068098d05ef5cf22f8.m3u8?zbid=11749549&tpid=1618242140&type=0
5806,https://inter.dayilive.com/live/page/2107817981,2107817981,【普外科】张旭 腹腔镜下腹股沟疝修补术 TAPP,0,是,2025-05-12 12:59:51,2025-05-14 15:30:00,11749549,0,CEED6793DD9EA77D1F3C5E1D506531C1,https://qvod2.vzan.com/clip/11749549/2107817981/0b6c8d4c52ca419dbc53a19e8cb1d565.m3u8?zbid=11749549&tpid=2107817981&type=0
5806,https://inter.dayilive.com/live/page/36961464,36961464,【泌尿外科】李海立 佟昕 腹腔镜左侧肾上腺肿物切除,0,是,2025-05-11 21:21:46,2025-05-15 14:00:00,11749549,0,B41EE8E066E3B625A644AD49AD07F9CA,https://pull-hs1.vzan.com/11749549/474407951777616211/replay.1747274486.29908480.m3u8?zbid=11749549&tpid=36961464&type=0
5806,https://inter.dayilive.com/live/page/772289722,772289722,【普外科】刘洋 何亮 腹腔镜胃袖状切除术,0,是,2025-05-11 21:20:46,2025-05-15 11:30:00,11749549,0,8D8241569359FD455C54F4819EA87DAE,https://pull-hs1.vzan.com/11749549/529443527500334365/replay.1747291786.01470816.m3u8?zbid=11749549&tpid=772289722&type=0
5806,https://inter.dayilive.com/live/page/1613011129,1613011129,【普外科】蔡军 张卫国 根治性远端胃切除术,0,是,2025-05-11 21:19:55,2025-05-15 08:30:00,11749549,0,898EFEF0D972783F287449492A7F7540,https://qvod2.vzan.com/clip/11749549/1613011129/0671fc146bb04b3abf7ba6e537f917d0.m3u8?zbid=11749549&tpid=1613011129&type=0
5806,https://inter.dayilive.com/live/page/1324973461,1324973461,刘驰教授  南阳市中心医院,0,是,2025-05-11 17:15:06,2025-05-21 08:30:00,11749549,0,A4ABA371A22979039669AAF5BC9140CC,https://qvod2.vzan.com/clip/11749549/1324973461/38cf1fca7e6f47bc8327edd7aa086032.m3u8?zbid=11749549&tpid=1324973461&type=0
5806,https://inter.dayilive.com/live/page/1452084509,1452084509,尚闯教授 河南省肿瘤医院,0,是,2025-05-11 17:13:27,2025-05-20 09:00:00,11749549,0,31A76A5235198FCEA8527C1105C104C1,https://qvod2.vzan.com/clip/11749549/1452084509/0e7eb509ea9744ddbb0ac49c75ca66b6.m3u8?zbid=11749549&tpid=1452084509&type=0
5806,https://inter.dayilive.com/live/page/974122128,974122128,赵玉洲教授 河南省肿瘤医院,0,是,2025-05-11 17:13:03,2025-05-20 09:00:00,11749549,0,1FF1F394D472DC69642548469575E77D,https://qvod2.vzan.com/clip/11749549/974122128/3d7b9c830faf401599ecc2e64eee4d9e.m3u8?zbid=11749549&tpid=974122128&type=0
5806,https://inter.dayilive.com/live/page/716468002,716468002,王新伟教授 孙万日教授 南阳市中心医院,0,是,2025-05-11 17:12:15,2025-05-19 09:00:00,11749549,0,A0F2D523B438E6FF3492FE0E9485A484,https://qvod2.vzan.com/clip/11749549/716468002/ca4676f5ef214e4295b8fd6f4336eb84.m3u8?zbid=11749549&tpid=716468002&type=0
5806,https://inter.dayilive.com/live/page/1278936377,1278936377,0513 保髋专家论坛｜髋关节镜知识与技术第十季第88期：髋关节镜手术病例讨论,0,是,2025-05-11 15:50:34,2025-05-13 19:00:00,11749549,0,C6CF46D06A79F073780171286717A3E1,https://qvod2.vzan.com/clip/11749549/1278936377/c7462f91cd2c431eab12e83d6f0c6eab.m3u8?zbid=11749549&tpid=1278936377&type=0
5806,https://inter.dayilive.com/live/page/829714466,829714466,2025风和术鉴｜Fulbright Innovative live Surgery,0,是,2025-05-11 13:24:04,2025-05-19 14:00:00,11749549,0,9581DFE1FA34A6EBA8C60FF730CBFD84,https://qvod2.vzan.com/clip/11749549/829714466/9e6c3597d14b4ac2acaddb6afbac3f8b.m3u8?zbid=11749549&tpid=829714466&type=0
5806,https://inter.dayilive.com/live/page/561647867,561647867,【泌尿外科】王超 输尿管镜碎石取石术,0,是,2025-05-11 12:40:12,2025-05-15 08:30:00,11749549,0,8F975773C0E41070BF6BB8AB926A622C,https://qvod2.vzan.com/clip/11749549/561647867/93985ff9fefe44d0b70bb07760c396ba.m3u8?zbid=11749549&tpid=561647867&type=0
5806,https://inter.dayilive.com/live/page/147843353,147843353,【普外科】张旭 腹腔镜下腹股沟疝修补术 TAPP,0,是,2025-05-11 12:38:25,2025-05-13 16:30:00,11749549,0,60815C37F17208386B62E2CF15CFD0CD,https://qvod2.vzan.com/clip/11749549/147843353/32d6e81cdc204e3082eef8d9c7b62712.m3u8?zbid=11749549&tpid=147843353&type=0
5806,https://inter.dayilive.com/live/page/2008805220,2008805220,【普外科】张宇飞 腹腔镜胆囊切除术,0,是,2025-05-11 12:37:38,2025-05-14 13:30:00,11749549,0,B4991C1B00C3289CF34336AAC3E1F325,https://pull-hs1.vzan.com/11749549/003133809792736173/replay.1747200051.16023641.m3u8?zbid=11749549&tpid=2008805220&type=0
5806,https://inter.dayilive.com/live/page/618015814,618015814,【普外科】张宇飞 腹腔镜胆囊切除术,0,是,2025-05-11 12:37:06,2025-05-14 11:00:00,11749549,0,FEF5EAD04AA1FF29D682CDD4CEA5325C,https://pull-hs1.vzan.com/11749549/688087213858607441/replay.1747194623.21000660.m3u8?zbid=11749549&tpid=618015814&type=0
5806,https://inter.dayilive.com/live/page/908631913,908631913,【普外科】张宇飞 腹腔镜胆总管切开胆道镜探查取石术,0,是,2025-05-11 12:05:54,2025-05-14 08:30:00,11749549,0,7E402ED6AB47E78A5A2A44715F32548C,https://qvod2.vzan.com/clip/11749549/908631913/734d4da1798f474db1799c44259256be.m3u8?zbid=11749549&tpid=908631913&type=0
5806,https://inter.dayilive.com/live/page/592005817,592005817,【骨科中心】王兴龙 人工全髋关节置换术,0,是,2025-05-11 10:23:18,2025-05-14 10:00:00,11749549,0,61A53FDDE7419522C83B4FC89D04439D,https://pull-hs1.vzan.com/11749549/081037766414149685/replay.1747193538.97683153.m3u8?zbid=11749549&tpid=592005817&type=0
5806,https://inter.dayilive.com/live/page/609200193,609200193,【骨科中心】陈亮 人工全膝关节置换术,0,是,2025-05-11 10:22:41,2025-05-14 08:30:00,11749549,0,88D27FE070302977ACCF915D7E37EA6D,https://pull-hs1.vzan.com/11749549/980420394293428213/replay.1747185902.59983767.m3u8?zbid=11749549&tpid=609200193&type=0
